id,name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price,age,km_class,km_per_year,km_per_month,company
0,Royal Enfield Classic 350,175000.0,2019,Individual,1st owner,350,,5,1,70.0,5.833,Royal Enfield
1,Honda Dio,45000.0,2017,Individual,1st owner,5650,,7,2,807.143,67.262,Honda
2,Royal Enfield Classic Gunmetal Grey,150000.0,2018,Individual,1st owner,12000,148114.0,6,3,2000.0,166.667,Royal Enfield
3,Yamaha Fazer FI V 2.0 [2016-2018],65000.0,2015,Individual,1st owner,23000,89643.0,9,5,2555.556,212.963,Yamaha
4,Yamaha SZ [2013-2014],20000.0,2011,Individual,2nd owner,21000,,13,5,1615.385,134.615,Yamaha
5,Honda CB Twister,18000.0,2010,Individual,1st owner,60000,53857.0,14,12,4285.714,357.143,Honda
6,Honda CB Hornet 160R,78500.0,2018,Individual,1st owner,17000,87719.0,6,4,2833.333,236.111,Honda
7,Royal Enfield Bullet 350 [2007-2011],180000.0,2008,Individual,2nd owner,39000,,16,8,2437.5,203.125,Royal Enfield
8,Hero Honda CBZ extreme,30000.0,2010,Individual,1st owner,32000,,14,7,2285.714,190.476,Hero Honda
9,Bajaj Discover 125,50000.0,2016,Individual,1st owner,42000,60122.0,8,9,5250.0,437.5,Bajaj
10,Yamaha FZ16,35000.0,2015,Individual,1st owner,32000,78712.0,9,7,3555.556,296.296,Yamaha
11,Honda Navi,28000.0,2016,Individual,2nd owner,10000,47255.0,8,2,1250.0,104.167,Honda
12,Bajaj Avenger Street 220,80000.0,2018,Individual,1st owner,21178,95955.0,6,5,3529.667,294.139,Bajaj
13,Yamaha YZF R3,365000.0,2019,Individual,1st owner,1127,351680.0,5,1,225.4,18.783,Yamaha
14,Jawa 42,185000.0,2020,Individual,1st owner,1700,,4,1,425.0,35.417,Jawa
15,Suzuki Access 125 [2007-2016],25000.0,2012,Individual,1st owner,55000,58314.0,12,11,4583.333,381.944,Suzuki
16,Hero Honda Glamour,25000.0,2006,Individual,1st owner,27000,,18,6,1500.0,125.0,Hero Honda
17,Yamaha YZF R15 S,40000.0,2010,Individual,2nd owner,45000,117926.0,14,9,3214.286,267.857,Yamaha
18,Royal Enfield Classic Gunmetal Grey,150000.0,2018,Individual,1st owner,23000,148114.0,6,5,3833.333,319.444,Royal Enfield
19,Yamaha FZ25,120000.0,2018,Individual,1st owner,39000,132680.0,6,8,6500.0,541.667,Yamaha
20,Hero Passion Pro 110,15000.0,2008,Individual,1st owner,60000,,16,12,3750.0,312.5,Hero
21,Honda Navi [2016-2017],26000.0,2016,Individual,1st owner,17450,44389.0,8,4,2181.25,181.771,Honda
22,Honda Activa i,32000.0,2013,Individual,2nd owner,20696,53900.0,11,5,1881.455,156.788,Honda
23,Jawa Standard,180000.0,2019,Individual,1st owner,2000,,5,1,400.0,33.333,Jawa
24,Royal Enfield Thunderbird 350,110000.0,2016,Individual,1st owner,20000,,8,4,2500.0,208.333,Royal Enfield
25,Honda Dream Yuga,25000.0,2012,Individual,1st owner,35000,56147.0,12,7,2916.667,243.056,Honda
26,TVS Apache RTR 160 4V,80000.0,2018,Individual,1st owner,15210,,6,4,2535.0,211.25,TVS
27,Honda Navi [2016-2017],42000.0,2017,Individual,1st owner,24000,44389.0,7,5,3428.571,285.714,Honda
28,Yamaha Fazer [2009-2016],40000.0,2013,Individual,3rd owner,35000,84751.0,11,7,3181.818,265.151,Yamaha
